Date,Mosq
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,4
2011-05-05,4
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-15,0
2011-05-16,0
2011-05-20,2
2011-05-21,5
2011-05-23,2
2011-05-24,7
2011-05-25,6
2011-05-31,0
2011-06-01,2
2011-06-02,4
2011-06-03,2
2011-06-04,1
2011-06-05,6
2011-06-06,7
2011-06-07,3
2011-06-08,0
2011-06-09,2
2011-06-10,11
2011-06-11,17
2011-06-12,11
2011-06-13,0
2011-06-14,7
2011-06-15,4
2011-06-16,1
2011-06-17,2
2011-06-18,13
2011-06-19,2
2011-06-20,2
2011-06-21,0
2011-06-22,7
2011-06-23,1
2011-06-24,0
2011-06-25,3
2011-06-26,7
2011-06-27,4
2011-06-28,9
2011-06-29,6
2011-06-30,1
2011-07-01,2
2011-07-02,8
2011-07-03,7
2011-07-04,4
2011-07-05,9
2011-07-06,16
2011-07-07,25
2011-07-08,2
2011-07-09,3
2011-07-10,18
2011-07-11,9
2011-07-12,15
2011-07-13,2
2011-07-14,6
2011-07-15,9
2011-07-16,0
2011-07-17,0
2011-07-18,83
2011-07-19,6
2011-07-20,99
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,6
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,1
2011-08-26,10
2011-08-27,14
2011-08-28,15
2011-08-29,24
2011-08-30,12
2011-08-31,29
2011-09-01,16
2011-09-02,16
2011-09-03,5
2011-09-04,11
2011-09-05,7
2011-09-06,9
2011-09-07,11
2011-09-08,8
2011-09-09,14
2011-09-10,10
2011-09-11,4
2011-09-12,9
2011-09-13,22
2011-09-14,21
2011-09-15,7
2011-09-16,9
2011-09-17,13
2011-09-18,19
2011-09-19,0
2011-09-20,1
2011-09-21,0
2011-09-22,0
2011-09-23,2
2011-09-24,4
2011-09-25,3
2011-09-26,2
2011-09-27,0
2011-09-28,2
2011-09-29,0
2011-09-30,0
2011-10-01,1
2011-10-02,0
2011-10-03,1
2011-10-04,0
2011-10-05,2
2011-10-06,0
2011-10-07,1
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,1
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,0
2012-05-06,1
2012-05-07,1
2012-05-08,0
2012-05-09,0
2012-05-10,1
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,2
2012-05-17,0
2012-05-18,3
2012-05-19,1
2012-05-20,4
2012-05-21,1
2012-05-22,2
2012-05-23,0
2012-05-24,3
2012-05-25,0
2012-05-26,2
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,1
2012-05-31,0
2012-06-01,0
2012-06-02,2
2012-06-03,1
2012-06-04,1
2012-06-05,1
2012-06-06,0
2012-06-07,1
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,1
2012-06-13,0
2012-06-14,2
2012-06-15,2
2012-06-16,1
2012-06-17,2
2012-06-18,2
2012-06-19,11
2012-06-20,1
2012-06-21,1
2012-06-22,1
2012-06-23,2
2012-06-24,3
2012-06-25,1
2012-06-26,1
2012-06-27,0
2012-06-28,1
2012-06-29,0
2012-06-30,1
2012-07-01,2
2012-07-02,4
2012-07-03,1
2012-07-04,3
2012-07-05,1
2012-07-06,0
